60,"Flow","$786,700,493","$0.76","1,036,200,000","$11,738,551","-0.32 %",2023-05-30 11:03:51.017062
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2023-05-30 11:03:51.017062
61,"Synthetix Network","$781,415,547","$2.45","318,226,558","$20,198,974","1.33 %",2023-05-30 11:03:51.017062
63,"NEO","$766,736,672","$10.90","70,530,000","$48,046,316","-2.39 %",2023-05-30 11:03:51.017062
67,"KuCoin","$727,832,731","$7.53","96,833,502","$588,734","0.55 %",2023-05-30 11:03:51.017062
69,"Curve DAO","$706,801,853","$0.86","819,275,911","$31,413,154","1.27 %",2023-05-30 11:03:51.017062
71,"Gate","$679,118,000","$4.89","139,018,905","$322,195","0.88 %",2023-05-30 11:03:51.017062
72,"Bitcoin SV","$667,620,787","$34.59","19,266,077","$59,464,543","2.37 %",2023-05-30 11:03:51.017062
76,"Kava","$618,018,061","$1.14","543,923,886","$21,114,183","0.81 %",2023-05-30 11:03:51.017062
77,"IOTA","$609,357,407","$0.22","2,779,530,283","$36,020,980","6.95 %",2023-05-30 11:03:51.017062
78,"Klaytn","$593,399,490","$0.19","3,097,195,338","$13,299,602","1.30 %",2023-05-30 11:03:51.017062
80,"Maker","$579,820,852","$644.37","901,311","$11,114,008","0.10 %",2023-05-30 11:03:51.017062
85,"Chiliz","$542,291,042","$0.10","5,344,064,580","$35,840,959","-0.44 %",2023-05-30 11:03:51.017062
86,"Mina Protocol","$521,709,026","$0.57","908,994,687","$7,923,588","-0.67 %",2023-05-30 11:03:51.017062
87,"Huobi","$520,898,748","$3.21","162,336,522","$12,254,763","-2.11 %",2023-05-30 11:03:51.017062
89,"PAX Gold","$516,676,936","$1,968.11","263,075","$7,676,067","0.72 %",2023-05-30 11:03:51.017062
91,"Terra Luna Classic","$509,028,954","$0.00","5,863,827,462,289","$16,525,949","-1.01 %",2023-05-30 11:03:51.017062
